category,type,plant_family,latin_name,lifecycle,is_tree,dtm_days_min,dtm_days_max,dtm_counted_from,spacing_in,seed_depth_in,germ_days_min,germ_days_max,germ_soil_temp_f_min,germ_soil_temp_f_max,sun,kc_ini,kc_mid,kc_end,stage_days_ini,stage_days_dev,stage_days_mid,stage_days_late,typical_start_method,weeks_before_transplant_to_start,hardening_days_default,heat_tolerant,confidence,source,notes
Tomato,Roma,Solanaceae,Solanum lycopersicum,annual,N,70,80,transplant,24,0.25,5,10,70,85,full,0.6,1.15,0.8,30,40,45,30,indoor,7,10,N,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Paste type; not on the AgriLife heat-set slicer list
Tomato,Celebrity,Solanaceae,Solanum lycopersicum,annual,N,65,75,transplant,24,0.25,5,10,70,85,full,0.6,1.15,0.8,30,40,45,30,indoor,7,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,AgriLife workhorse variety
Tomato,Tycoon,Solanaceae,Solanum lycopersicum,annual,N,70,80,transplant,24,0.25,5,10,70,85,full,0.6,1.15,0.8,30,40,45,30,indoor,7,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Texas A&M developed; Texas Superstar
Tomato,Solar Fire,Solanaceae,Solanum lycopersicum,annual,N,70,75,transplant,24,0.25,5,10,70,85,full,0.6,1.15,0.8,30,40,45,30,indoor,7,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Heat-set; recommended for fall planting
Tomato,Heatmaster,Solanaceae,Solanum lycopersicum,annual,N,70,75,transplant,24,0.25,5,10,70,85,full,0.6,1.15,0.8,30,40,45,30,indoor,7,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Heat-set
Tomato,Juliet,Solanaceae,Solanum lycopersicum,annual,N,60,65,transplant,24,0.25,5,10,70,85,full,0.6,1.15,0.8,30,40,45,30,indoor,7,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Grape type; AgriLife recommended
Pepper,Jalapeno,Solanaceae,Capsicum annuum,annual,N,65,80,transplant,18,0.25,8,14,75,85,full,0.6,1.05,0.9,30,35,40,20,indoor,8,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Pepper,TAM Mild Jalapeno,Solanaceae,Capsicum annuum,annual,N,65,80,transplant,18,0.25,8,14,75,85,full,0.6,1.05,0.9,30,35,40,20,indoor,8,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,"Texas A&M bred, mild"
Pepper,Serrano,Solanaceae,Capsicum annuum,annual,N,70,85,transplant,18,0.25,8,14,75,85,full,0.6,1.05,0.9,30,35,40,20,indoor,8,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Pepper,Bell (Big Bertha),Solanaceae,Capsicum annuum,annual,N,70,80,transplant,18,0.25,8,14,75,85,full,0.6,1.05,0.9,30,35,40,20,indoor,8,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Sweet bell; AgriLife recommended
